epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7110702395439148,0.2094447910785675,1e-05,0.8328671455383301,0.17567405104637146
1,0.7323524355888367,0.19895127415657043,1e-05,0.8370629549026489,0.17330415546894073
2,0.7416360378265381,0.19472633302211761,1e-05,0.8426573276519775,0.1712111532688141
3,0.7488176822662354,0.18948931992053986,1e-05,0.8377622365951538,0.17084842920303345
4,0.7589770555496216,0.1866825670003891,1e-05,0.844755232334137,0.16974897682666779
5,0.7634437084197998,0.1833570897579193,1e-05,0.8468531370162964,0.16889424622058868
6,0.7726396918296814,0.18041318655014038,1e-05,0.8503496646881104,0.1682896912097931
7,0.7790331244468689,0.17800308763980865,1e-05,0.8475524187088013,0.16680605709552765
8,0.7834997177124023,0.17581923305988312,1e-05,0.8552447557449341,0.16495701670646667
9,0.7872657179832458,0.17407256364822388,1e-05,0.855944037437439,0.16226831078529358
10,0.7927833199501038,0.17153353989124298,1e-05,0.8594405651092529,0.16197969019412994
11,0.7963741421699524,0.17156703770160675,1e-05,0.8629370331764221,0.15942424535751343
12,0.7940970659255981,0.16799890995025635,1e-05,0.8629370331764221,0.15849317610263824
13,0.8010159134864807,0.16720664501190186,1e-05,0.8615384697914124,0.1579301357269287
14,0.80250483751297,0.1659587323665619,1e-05,0.8678321838378906,0.156301349401474
15,0.8119635581970215,0.16052381694316864,1e-05,0.8692307472229004,0.15549147129058838
16,0.8118759989738464,0.1624690741300583,1e-05,0.867132842540741,0.1557423174381256
17,0.8116132616996765,0.16081103682518005,1e-05,0.8706293702125549,0.15442325174808502
18,0.8199334144592285,0.15803596377372742,1e-05,0.867132842540741,0.15365050733089447
19,0.8229987621307373,0.157046839594841,1e-05,0.8720279932022095,0.15184654295444489
